"","Order","BinPerm","CatPerm","ContPerm","BinRank","CatRank","ContRank","Bin%","Cat%","Cont%","BinRank%","CatRank%","ContRank%"
"DUSP4",1040,"8.23e-01","6.33e-01","6.32e-01","10934","11102","8808","0.73","0.685","0.633","0.675","0.685","0.633"
"SORBS3",1041,"8.15e-01","3.59e-01","7.69e-01","10756","7264","10689","0.718","0.448","0.768","0.664","0.448","0.768"
"TARDBP",1042,"NA","9.22e-01","NA","15102","14994","NA","NA","0.925","NA","0.932","0.925","NA"
"RDH10",1043,"NA","1.77e-01","NA","15103","4309","NA","NA","0.266","NA","0.932","0.266","NA"
"DLX4",1044,"9.71e-01","1.29e-01","8.87e-01","14326","3363","12358","0.956","0.208","0.888","0.884","0.207","0.888"
"COIL",1045,"2.32e-01","2.32e-01","6.66e-01","5003","5291","9304","0.334","0.327","0.669","0.309","0.326","0.669"
"TBX2",1046,"6.72e-01","7.88e-01","5.35e-01","8725","13133","7477","0.582","0.811","0.537","0.538","0.81","0.537"
"TBX4",1047,"7.67e-01","2.61e-01","1.46e-01","9942","5753","2115","0.663","0.355","0.152","0.613","0.355","0.152"
"TEX14",1048,"8.41e-01","2.7e-01","1e+00","11286","5903","13906","0.753","0.364","1","0.696","0.364","1"
"FAM117A",1049,"2.81e-01","8.93e-01","7.91e-01","5466","14622","10998","0.365","0.902","0.791","0.337","0.902","0.791"
"NCAPH",1050,"6.34e-02","4.57e-01","1.17e-01","1923","8706","1746","0.128","0.537","0.126","0.119","0.537","0.126"
"MND1",1051,"2.28e-02","1.48e-01","7.24e-02","586","3756","1129","0.0391","0.232","0.0812","0.0362","0.232","0.0812"
"TSHZ3",1052,"8.89e-02","1.23e-01","6.59e-01","2602","3255","9194","0.174","0.201","0.661","0.161","0.201","0.661"
"PLBD1",1053,"9.3e-01","7.13e-01","5.14e-01","13386","12123","7218","0.893","0.748","0.519","0.826","0.748","0.519"
"KLRK1",1054,"1.09e-01","3.96e-01","5.47e-01","3040","7812","7647","0.203","0.482","0.55","0.188","0.482","0.55"
"TAS2R10",1055,"7.98e-02","8.31e-03","8.18e-03","2366","362","208","0.158","0.0223","0.015","0.146","0.0223","0.015"
"PYROXD1",1056,"1.11e-01","4.88e-01","4.3e-01","3080","9182","6047","0.206","0.567","0.435","0.19","0.566","0.435"
"TAS2R7",1057,"5.2e-02","2.3e-01","1.51e-03","1558","5257","63","0.104","0.324","0.00453","0.0961","0.324","0.00453"
"NAA50",1058,"NA","9.04e-01","NA","15104","14752","NA","NA","0.911","NA","0.932","0.91","NA"
"MAPK8IP1",1059,"5.83e-01","4.67e-01","4.92e-01","7897","8864","6882","0.527","0.547","0.495","0.487","0.547","0.495"
"PEX16",1060,"9.82e-01","3.78e-01","9.16e-02","14566","7549","1414","0.972","0.466","0.102","0.899","0.466","0.102"
"DEPDC7",1061,"1.7e-02","1.15e-01","9.59e-01","393","3091","13335","0.0262","0.191","0.959","0.0242","0.191","0.959"
"CAT",1062,"7.41e-01","2.73e-01","7.67e-02","9546","5938","1203","0.637","0.366","0.0865","0.589","0.366","0.0865"
"GJA3",1063,"6.49e-02","4.4e-01","9.63e-01","1964","8440","13390","0.131","0.521","0.962","0.121","0.521","0.962"
"GHSR",1064,"2.25e-01","9.01e-02","8.64e-01","4919","2494","12044","0.328","0.154","0.866","0.303","0.154","0.866"
"TNFSF10",1065,"5.22e-01","1.85e-02","6.01e-01","7417","696","8405","0.495","0.043","0.604","0.458","0.0429","0.604"
"SLITRK3",1066,"9.75e-01","4.86e-01","4.36e-01","14414","9146","6116","0.962","0.564","0.44","0.889","0.564","0.44"
"CPXM2",1067,"9.01e-01","9.01e-01","7.76e-01","12660","14715","10804","0.845","0.908","0.777","0.781","0.908","0.777"
"ADORA3",1068,"5.3e-01","6.21e-02","2.29e-01","7467","1874","3290","0.498","0.116","0.236","0.461","0.116","0.236"
"ACVR2A",1069,"NA","1.36e-01","NA","15105","3521","NA","NA","0.217","NA","0.932","0.217","NA"
"POLK",1070,"9.8e-01","8.57e-01","5.09e-01","14534","14138","7143","0.97","0.873","0.514","0.897","0.872","0.513"
"FLT3",1071,"6e-01","8.22e-01","7.33e-01","8037","13641","10219","0.536","0.842","0.735","0.496","0.842","0.735"
"RASL11A",1072,"8.81e-01","3.64e-01","2.45e-01","12181","7346","3498","0.813","0.453","0.251","0.751","0.453","0.251"
"FYTTD1",1073,"6.96e-01","8.58e-01","2.24e-01","9011","14152","3209","0.601","0.873","0.231","0.556","0.873","0.231"
"MYOG",1074,"2.07e-01","6.08e-01","6.36e-01","4706","10799","8870","0.314","0.667","0.638","0.29","0.666","0.638"
"AHR",1075,"7.59e-01","5.45e-01","NA","9821","9955","NA","0.655","0.614","NA","0.606","0.614","NA"
"BBS9",1076,"3.43e-01","6.74e-02","7.47e-01","6035","1999","10414","0.403","0.123","0.749","0.372","0.123","0.749"
"EEPD1",1077,"8.49e-02","6.54e-01","6.96e-02","2495","11368","1092","0.166","0.702","0.0785","0.154","0.701","0.0785"
"NPY",1078,"4.36e-01","1.7e-01","7.25e-01","6784","4171","10106","0.453","0.257","0.726","0.419","0.257","0.726"
"HOXA7",1079,"8.32e-01","4.62e-01","9.65e-01","11098","8779","13427","0.741","0.542","0.965","0.685","0.542","0.965"
"INHBA",1080,"2.7e-01","7.58e-02","5.5e-01","5381","2175","7693","0.359","0.134","0.553","0.332","0.134","0.553"
"MRM2",1081,"2e-02","7.82e-03","3.02e-01","487","342","4276","0.0325","0.0211","0.307","0.03","0.0211","0.307"
"SLC25A51",1082,"5.5e-02","1.27e-03","7.58e-01","1662","84","10543","0.111","0.00518","0.758","0.103","0.00518","0.758"
"CLTA",1083,"9.46e-01","9.88e-01","1.51e-01","13733","16018","2212","0.916","0.989","0.159","0.847","0.988","0.159"
"PHF24",1084,"1.38e-01","1.66e-01","5.5e-02","3633","4105","895","0.242","0.253","0.0644","0.224","0.253","0.0643"
"AKR1D1",1085,"8.1e-01","1.7e-01","8.53e-01","10678","4180","11876","0.713","0.258","0.854","0.659","0.258","0.854"
"NEUROG3",1086,"1.69e-02","8.39e-01","7.42e-01","387","13878","10351","0.0258","0.857","0.744","0.0239","0.856","0.744"
"SRGN",1087,"4.07e-01","2.69e-01","1.8e-01","6537","5879","2602","0.436","0.363","0.187","0.403","0.363","0.187"
"FAM149B1",1088,"9.51e-01","6.75e-01","6.16e-01","13849","11646","8586","0.924","0.719","0.617","0.854","0.718","0.617"
"UNG",1089,"1.83e-01","4.52e-01","5.88e-02","4371","8630","935","0.292","0.533","0.0672","0.27","0.532","0.0672"
"ACADS",1090,"7.11e-01","2.6e-01","4.31e-01","9185","5745","6048","0.613","0.355","0.435","0.567","0.354","0.435"
"HVCN1",1091,"6.25e-01","7.6e-01","5.06e-01","8259","12746","7088","0.551","0.787","0.51","0.51","0.786","0.509"
"RNF11",1092,"NA","3.39e-01","NA","15106","6960","NA","NA","0.43","NA","0.932","0.429","NA"
"BHLHE41",1093,"9.3e-01","8.54e-01","9.69e-01","13381","14098","13491","0.893","0.87","0.97","0.826","0.87","0.97"
"SSPN",1094,"5.79e-01","8.16e-01","5.72e-01","7863","13556","7992","0.525","0.837","0.574","0.485","0.836","0.574"
"DDX39A",1095,"6.98e-02","6.66e-02","NA","2084","1982","NA","0.139","0.122","NA","0.129","0.122","NA"
"TRIR",1096,"NA","8.04e-01","8.45e-01","15107","13364","11768","NA","0.825","0.846","0.932","0.824","0.846"
"KLHL24",1097,"NA","4.97e-01","NA","15108","9317","NA","NA","0.575","NA","0.932","0.575","NA"
"CCDC70",1098,"2.56e-01","3.08e-01","9.35e-01","5263","6505","13024","0.351","0.401","0.936","0.325","0.401","0.936"
"EBPL",1099,"8e-01","5.95e-01","5.48e-01","10484","10629","7665","0.7","0.656","0.551","0.647","0.656","0.551"
"ATP7B",1100,"9.38e-01","2.62e-01","1.61e-01","13563","5767","2342","0.905","0.356","0.168","0.837","0.356","0.168"
"ZC3H13",1101,"8.13e-01","9.93e-01","7.66e-01","10736","16100","10650","0.716","0.994","0.766","0.662","0.993","0.766"
"NEUROD4",1102,"4.32e-01","1.68e-01","3.76e-01","6754","4135","5327","0.451","0.255","0.383","0.417","0.255","0.383"
"ORMDL2",1103,"9.32e-01","1.8e-01","NA","13446","4387","NA","0.897","0.271","NA","0.83","0.271","NA"
"PDE1B",1104,"2.43e-02","3.98e-02","2.55e-01","645","1287","3632","0.043","0.0794","0.261","0.0398","0.0794","0.261"
"HOXC13",1105,"9.28e-01","7.18e-01","4.36e-01","13324","12188","6129","0.889","0.752","0.441","0.822","0.752","0.441"
"LRP1",1106,"1.68e-02","8.17e-01","3.17e-01","386","13562","4481","0.0258","0.837","0.322","0.0238","0.837","0.322"
"HOXC11",1107,"7.42e-01","7.64e-01","5.55e-01","9579","12800","7754","0.639","0.79","0.557","0.591","0.79","0.557"
"HOXC12",1108,"4.25e-01","7.96e-01","4.8e-01","6676","13252","6729","0.445","0.818","0.484","0.412","0.818","0.484"
"HOXC6",1109,"NA","5.47e-01","NA","15109","9979","NA","NA","0.616","NA","0.932","0.616","NA"
"FAAH",1110,"9.06e-01","6.54e-01","9.92e-01","12787","11369","13811","0.853","0.702","0.993","0.789","0.701","0.993"
"RSRP1",1111,"8.47e-01","3.88e-01","9.57e-01","11386","7703","13304","0.76","0.475","0.956","0.702","0.475","0.956"
"SEC61A1",1112,"NA","2.66e-02","NA","15110","921","NA","NA","0.0568","NA","0.932","0.0568","NA"
"RAB9B",1113,"NA","2.25e-01","NA","15111","5138","NA","NA","0.317","NA","0.932","0.317","NA"
"NRK",1114,"4.17e-01","1.61e-01","8.94e-01","6604","4011","12458","0.441","0.248","0.895","0.407","0.247","0.895"
"TTC21B",1115,"1.7e-01","7.37e-01","4.38e-01","4167","12428","6158","0.278","0.767","0.443","0.257","0.767","0.443"
"NMI",1116,"3.42e-01","8.18e-02","1.17e-01","6031","2298","1747","0.402","0.142","0.126","0.372","0.142","0.126"
"TNFAIP6",1117,"8.12e-01","8.74e-01","6.56e-01","10713","14367","9161","0.715","0.887","0.658","0.661","0.886","0.658"
"ACVR1C",1118,"4.08e-02","6.62e-01","1.97e-01","1209","11489","2859","0.0807","0.709","0.206","0.0746","0.709","0.206"
"BATF3",1119,"9.08e-01","9.02e-01","6.93e-01","12833","14721","9673","0.856","0.909","0.695","0.792","0.908","0.695"
"KCNJ2",1120,"5.58e-01","5.8e-01","NA","7698","10432","NA","0.514","0.644","NA","0.475","0.644","NA"
"EXOSC9",1121,"3.09e-01","2.27e-01","9.64e-01","5745","5186","13408","0.383","0.32","0.964","0.354","0.32","0.964"
"PLA2G12A",1122,"5.87e-01","8.74e-01","2.65e-02","7921","14372","460","0.529","0.887","0.0331","0.489","0.887","0.0331"
"SNRPA",1123,"NA","9.21e-01","NA","15112","14990","NA","NA","0.925","NA","0.932","0.925","NA"
"B9D2",1124,"1.87e-01","7.73e-01","3.34e-01","4419","12925","4717","0.295","0.798","0.339","0.273","0.797","0.339"
"RAB38",1125,"1.44e-01","4.01e-01","4.78e-01","3768","7877","6706","0.251","0.486","0.482","0.232","0.486","0.482"
"GPR83",1126,"9.91e-02","2.32e-01","8.96e-02","2840","5282","1388","0.19","0.326","0.0998","0.175","0.326","0.0998"
"HAUS3",1127,"7.59e-02","2.87e-02","9.85e-01","2251","975","13708","0.15","0.0602","0.985","0.139","0.0602","0.985"
"CHPF",1128,"8.18e-01","9.71e-01","5.2e-01","10825","15748","7291","0.722","0.972","0.524","0.668","0.972","0.524"
"INHA",1129,"1.68e-02","1.73e-01","2.51e-01","385","4226","3582","0.0257","0.261","0.257","0.0238","0.261","0.257"
"ENKD1",1130,"6.57e-01","9.96e-01","7.89e-01","8586","16135","10969","0.573","0.996","0.788","0.53","0.995","0.788"
"ACTR5",1131,"1.02e-01","4.69e-01","7.26e-01","2912","8888","10129","0.194","0.549","0.728","0.18","0.548","0.728"
"MC3R",1132,"3.02e-02","1.28e-02","7.94e-01","857","517","11046","0.0572","0.0319","0.794","0.0529","0.0319","0.794"
"SYS1",1133,"NA","6.23e-01","NA","15113","10983","NA","NA","0.678","NA","0.932","0.678","NA"
"WFDC3",1134,"7.4e-01","5.31e-01","NA","9537","9789","NA","0.636","0.604","NA","0.588","0.604","NA"
"PLCG1",1135,"9.02e-01","5.31e-01","9.51e-01","12687","9791","13236","0.847","0.604","0.951","0.783","0.604","0.951"
"SRSF6",1136,"6.94e-01","1.84e-01","5.41e-01","8985","4454","7558","0.6","0.275","0.543","0.554","0.275","0.543"
"RAB22A",1137,"NA","1.24e-01","NA","15114","3273","NA","NA","0.202","NA","0.932","0.202","NA"
"PTGIS",1138,"9.65e-01","8.95e-01","1.24e-01","14206","14644","1848","0.948","0.904","0.133","0.876","0.903","0.133"
"SNAI1",1139,"8.47e-01","5.23e-01","8.91e-01","11402","9678","12416","0.761","0.597","0.892","0.703","0.597","0.892"
"MOCS3",1140,"6.01e-01","7.46e-01","6.33e-01","8040","12555","8815","0.537","0.775","0.634","0.496","0.775","0.634"
"RNF114",1141,"2.41e-01","5.24e-01","1.74e-01","5094","9690","2521","0.34","0.598","0.181","0.314","0.598","0.181"
"PEPD",1142,"8.96e-02","2.17e-01","6.69e-02","2622","5015","1049","0.175","0.31","0.0754","0.162","0.309","0.0754"
"IL9R",1143,"4.18e-01","9.23e-01","4.7e-01","6616","15021","6591","0.441","0.927","0.474","0.408","0.927","0.474"
"MCEE",1144,"9.64e-01","6.38e-01","7.22e-01","14170","11169","10073","0.946","0.689","0.724","0.874","0.689","0.724"
"PAIP2B",1145,"7.83e-01","4.9e-01","6.87e-01","10204","9204","9596","0.681","0.568","0.69","0.63","0.568","0.69"
"MPHOSPH10",1146,"6.35e-01","6.08e-01","7.13e-01","8370","10790","9951","0.559","0.666","0.715","0.516","0.666","0.715"
"IL17C",1147,"7.5e-01","3.41e-01","9.16e-01","9692","7003","12771","0.647","0.432","0.918","0.598","0.432","0.918"
"LIPE",1148,"7.56e-02","2.37e-01","9.47e-01","2240","5364","13176","0.149","0.331","0.947","0.138","0.331","0.947"
"IRGC",1149,"6.41e-02","4.26e-02","2.07e-01","1944","1363","2962","0.13","0.0841","0.213","0.12","0.0841","0.213"
"LYPD3",1150,"9.73e-02","8.73e-02","1.51e-01","2808","2424","2217","0.187","0.15","0.159","0.173","0.15","0.159"
"RNF39",1151,"2.06e-02","3.88e-02","5.14e-01","513","1260","7208","0.0342","0.0778","0.518","0.0316","0.0777","0.518"
"FBXO9",1152,"2.25e-01","3.48e-01","7.47e-01","4920","7094","10413","0.328","0.438","0.748","0.304","0.438","0.748"
"RRP36",1153,"9.25e-01","4.61e-01","4.98e-01","13269","8761","6979","0.885","0.541","0.502","0.819","0.541","0.502"
"BTN1A1",1154,"8.07e-01","3.2e-01","8.22e-01","10609","6681","11438","0.708","0.412","0.822","0.655","0.412","0.822"
"SLC17A1",1155,"8.97e-01","3.39e-01","3.08e-01","12586","6962","4367","0.84","0.43","0.314","0.776","0.43","0.314"
"H1-3",1156,"1.71e-01","4.66e-01","NA","4197","8837","NA","0.28","0.545","NA","0.259","0.545","NA"
"UNC5CL",1157,"7.47e-01","3.65e-01","5.37e-01","9648","7360","7514","0.644","0.454","0.54","0.595","0.454","0.54"
"AARS2",1158,"3.88e-02","1.44e-01","2.1e-01","1150","3682","3017","0.0767","0.227","0.217","0.0709","0.227","0.217"
"H1-1",1159,"5.12e-02","6.71e-02","8.88e-01","1536","1995","12367","0.102","0.123","0.889","0.0948","0.123","0.889"
"ZNF391",1160,"5.05e-02","3.03e-01","NA","1509","6405","NA","0.101","0.395","NA","0.0931","0.395","NA"
"APOBEC2",1161,"3.74e-02","1.9e-02","8.28e-01","1094","715","11526","0.073","0.0441","0.828","0.0675","0.0441","0.828"
"TREM1",1162,"1.2e-01","5.45e-01","5.03e-01","3287","9951","7037","0.219","0.614","0.506","0.203","0.614","0.506"
"COL21A1",1163,"8.79e-01","4.97e-01","9.17e-01","12132","9316","12785","0.81","0.575","0.919","0.748","0.575","0.919"
"SOX4",1164,"5.89e-01","2.57e-01","1.66e-01","7941","5692","2407","0.53","0.351","0.173","0.49","0.351","0.173"
"CPNE5",1165,"6.62e-02","6.41e-01","6.77e-01","1994","11205","9461","0.133","0.692","0.68","0.123","0.691","0.68"
"EREG",1166,"3.64e-01","3.87e-02","8.96e-01","6192","1255","12483","0.413","0.0775","0.897","0.382","0.0774","0.897"
"EMC3",1167,"NA","2.88e-02","NA","15115","978","NA","NA","0.0604","NA","0.933","0.0603","NA"
"SH3TC1",1168,"7.09e-02","9.34e-01","9.69e-01","2118","15172","13489","0.141","0.936","0.97","0.131","0.936","0.97"
"BBS2",1169,"7.49e-01","1.3e-01","1.8e-01","9683","3374","2607","0.646","0.208","0.187","0.597","0.208","0.187"
"GOT2",1170,"7.32e-01","2.18e-01","9.4e-04","9436","5031","49","0.63","0.311","0.00352","0.582","0.31","0.00352"
"PIWIL1",1171,"5.61e-02","1.22e-01","1.39e-01","1690","3222","2035","0.113","0.199","0.146","0.104","0.199","0.146"
"RAP2A",1172,"NA","3.05e-01","NA","15116","6444","NA","NA","0.398","NA","0.933","0.398","NA"
"SLC10A2",1173,"1.7e-02","4.91e-01","3.91e-03","394","9230","120","0.0263","0.57","0.00877","0.0243","0.569","0.00863"
"IRF1",1174,"1.14e-01","1.03e-01","6.57e-01","3144","2839","9182","0.21","0.175","0.66","0.194","0.175","0.66"
"BMP4",1175,"9.12e-01","4.66e-02","4.77e-01","12936","1493","6687","0.863","0.0921","0.481","0.798","0.0921","0.481"
"PTGER2",1176,"2.25e-02","3.58e-01","7.56e-01","576","7248","10518","0.0384","0.447","0.756","0.0355","0.447","0.756"
"SOX9",1177,"1.87e-01","5.36e-01","8.17e-01","4426","9843","11358","0.295","0.608","0.816","0.273","0.607","0.816"
"MYH2",1178,"2.03e-01","1.81e-01","6.06e-01","4660","4396","8454","0.311","0.271","0.608","0.287","0.271","0.608"
"ARMC7",1179,"9.31e-01","3.68e-02","6.77e-01","13411","1204","9454","0.895","0.0743","0.68","0.827","0.0743","0.68"
"NUP85",1180,"1e+00","9.58e-01","5.7e-01","14952","15560","7976","0.998","0.96","0.573","0.922","0.96","0.573"
"NT5C",1181,"8.82e-01","2.8e-01","9.16e-01","12220","6050","12772","0.815","0.373","0.918","0.754","0.373","0.918"
"MSTO1",1182,"2.54e-02","9.12e-02","2.76e-01","687","2535","3932","0.0458","0.156","0.283","0.0424","0.156","0.283"
"MBOAT7",1183,"8.63e-02","8.12e-01","6.06e-01","2534","13500","8457","0.169","0.833","0.608","0.156","0.833","0.608"
"ZBTB46",1184,"4.28e-01","3.09e-01","6e-01","6706","6523","8393","0.447","0.403","0.603","0.414","0.402","0.603"
"SLC35F5",1185,"8.5e-01","6.38e-01","1.25e-01","11460","11170","1854","0.765","0.689","0.133","0.707","0.689","0.133"
"PSD4",1186,"7.97e-02","2.38e-02","9.64e-01","2364","849","13400","0.158","0.0524","0.963","0.146","0.0524","0.963"
"PSPN",1187,"7.42e-01","6.24e-01","3.78e-01","9564","11004","5357","0.638","0.679","0.385","0.59","0.679","0.385"
"ALKBH7",1188,"4.73e-02","6.18e-01","4.02e-01","1423","10919","5636","0.095","0.674","0.405","0.0878","0.674","0.405"
"CLPP",1189,"9.84e-01","9.04e-02","3.47e-01","14604","2507","4893","0.975","0.155","0.352","0.901","0.155","0.352"
"THOC2",1190,"6.87e-01","5.62e-01","4.61e-01","8865","10185","6463","0.592","0.629","0.465","0.547","0.628","0.465"
"CD70",1191,"8.18e-01","6e-01","9.39e-01","10824","10687","13074","0.722","0.66","0.94","0.668","0.659","0.94"
"C3",1192,"9.27e-01","1.56e-01","5.21e-01","13306","3914","7301","0.888","0.242","0.525","0.821","0.241","0.525"
"SH2D3A",1193,"9.73e-01","1.74e-01","8.76e-01","14365","4245","12199","0.959","0.262","0.877","0.886","0.262","0.877"
"RTN2",1194,"6.16e-02","5.3e-01","7.97e-01","1871","9781","11087","0.125","0.604","0.797","0.115","0.603","0.797"
"VASP",1195,"5.76e-01","4.26e-01","8.1e-01","7832","8251","11252","0.523","0.509","0.809","0.483","0.509","0.809"
"SYMPK",1196,"9.68e-01","9.21e-02","7.19e-01","14258","2556","10027","0.951","0.158","0.721","0.88","0.158","0.721"
"CFAP61",1197,"6.06e-01","3.52e-01","2.67e-01","8089","7163","3810","0.54","0.442","0.274","0.499","0.442","0.274"
"CDC25B",1198,"3.1e-01","1.32e-01","8e-01","5753","3427","11129","0.384","0.212","0.8","0.355","0.211","0.8"
"CD93",1199,"4.37e-01","7.85e-01","6.02e-01","6792","13102","8410","0.453","0.809","0.605","0.419","0.808","0.605"
"CST8",1200,"6.36e-01","2.04e-01","8.51e-01","8377","4795","11853","0.559","0.296","0.852","0.517","0.296","0.852"
"TMX4",1201,"6.51e-01","3.55e-01","6.96e-01","8527","7198","9716","0.569","0.444","0.698","0.526","0.444","0.698"
"DSTN",1202,"NA","3.94e-01","NA","15117","7774","NA","NA","0.48","NA","0.933","0.48","NA"
"LAMP5",1203,"9.56e-01","4.52e-01","4.26e-01","13978","8625","5990","0.933","0.532","0.431","0.862","0.532","0.431"
"SNRPB2",1204,"NA","9.34e-01","3.74e-01","15118","15173","5300","NA","0.936","0.381","0.933","0.936","0.381"
"TCF15",1205,"6.84e-03","1.05e-01","4.75e-02","74","2888","778","0.00494","0.178","0.0559","0.00457","0.178","0.0559"
"OTOR",1206,"1.98e-01","4.59e-02","7.54e-01","4595","1473","10494","0.307","0.0909","0.754","0.283","0.0909","0.754"
"SCRT2",1207,"8.47e-01","9.23e-01","7.03e-01","11403","15028","9815","0.761","0.928","0.706","0.703","0.927","0.706"
"DEFB129",1208,"1.3e-01","1.22e-01","5.36e-02","3504","3214","877","0.234","0.198","0.063","0.216","0.198","0.063"
"TLE6",1209,"9.26e-01","6.7e-01","NA","13280","11589","NA","0.886","0.715","NA","0.819","0.715","NA"
"S1PR4",1210,"8.59e-01","7.42e-01","NA","11680","12497","NA","0.779","0.771","NA","0.721","0.771","NA"
"NCLN",1211,"8.74e-01","8.92e-01","9.15e-01","12010","14591","12745","0.801","0.901","0.916","0.741","0.9","0.916"
"PITHD1",1212,"8.51e-01","8.47e-01","NA","11499","14002","NA","0.767","0.864","NA","0.709","0.864","NA"
"FNTB",1213,"2.43e-01","9.27e-01","9.74e-01","5112","15088","13564","0.341","0.931","0.975","0.315","0.931","0.975"
"ARMCX5",1214,"9.21e-01","4.68e-02","6.39e-01","13160","1501","8905","0.878","0.0926","0.64","0.812","0.0926","0.64"
"MMP24",1215,"5.42e-01","8.76e-02","3.8e-01","7565","2432","5379","0.505","0.15","0.387","0.467","0.15","0.387"
"NECAB3",1216,"6.95e-01","9.86e-01","2.19e-01","9003","15986","3140","0.601","0.987","0.226","0.555","0.986","0.226"
"RALY",1217,"6.56e-01","7.55e-01","7.96e-01","8574","12671","11058","0.572","0.782","0.795","0.529","0.782","0.795"
"PLAGL2",1218,"1.53e-01","7.44e-01","1.41e-01","3908","12527","2065","0.261","0.773","0.149","0.241","0.773","0.148"
"UROD",1219,"5.45e-01","6.18e-01","4.77e-01","7586","10914","6678","0.506","0.674","0.48","0.468","0.673","0.48"
"KLC1",1220,"8.76e-01","1.06e-01","2.11e-01","12049","2903","3028","0.804","0.179","0.218","0.743","0.179","0.218"
"SLURP1",1221,"1.8e-01","1.86e-02","NA","4320","703","NA","0.288","0.0434","NA","0.267","0.0434","NA"
"LRFN3",1222,"8.29e-01","5.27e-01","8.14e-01","11044","9729","11310","0.737","0.6","0.813","0.681","0.6","0.813"
"IGFLR1",1223,"4.25e-02","2.86e-01","4.72e-01","1258","6147","6610","0.0839","0.379","0.475","0.0776","0.379","0.475"
"PDCD2L",1224,"1.19e-01","4.03e-01","5.83e-01","3272","7906","8137","0.218","0.488","0.585","0.202","0.488","0.585"
"FFAR1",1225,"3.35e-02","7.33e-02","1.05e-02","953","2122","247","0.0636","0.131","0.0178","0.0588","0.131","0.0178"
"KRT13",1226,"2.54e-02","8.67e-03","6.09e-01","690","376","8495","0.046","0.0232","0.611","0.0426","0.0232","0.611"
"CCR7",1227,"5.29e-02","6.85e-01","6.65e-01","1586","11769","9289","0.106","0.726","0.668","0.0978","0.726","0.668"
"NR1D1",1228,"8.98e-01","4.14e-01","5.91e-01","12609","8076","8260","0.841","0.498","0.594","0.778","0.498","0.594"
"ARL2",1229,"7.89e-01","1.67e-01","6.92e-01","10284","4111","9665","0.686","0.254","0.695","0.634","0.254","0.695"
"RRAS",1230,"9.94e-01","9.35e-01","7.67e-01","14802","15189","10659","0.988","0.937","0.766","0.913","0.937","0.766"
"PRRG2",1231,"1.28e-01","2.35e-02","4.73e-02","3482","840","776","0.232","0.0518","0.0558","0.215","0.0518","0.0558"
"TSKS",1232,"1.36e-02","3.55e-01","2.97e-01","291","7201","4193","0.0194","0.444","0.301","0.018","0.444","0.301"
"NOP53",1233,"8.64e-01","9.51e-01","9.65e-01","11800","15433","13429","0.787","0.953","0.965","0.728","0.952","0.965"
"FLRT1",1234,"3.28e-02","7.14e-02","2.2e-01","932","2086","3145","0.0622","0.129","0.226","0.0575","0.129","0.226"
"SBDS",1235,"9.81e-01","3.86e-01","5.76e-01","14541","7669","8050","0.97","0.473","0.579","0.897","0.473","0.579"
"MLX",1236,"9.28e-01","6.13e-01","8.8e-02","13321","10858","1363","0.889","0.67","0.098","0.822","0.67","0.098"
"WNK4",1237,"1.98e-01","3.14e-01","6.88e-02","4594","6580","1081","0.307","0.406","0.0778","0.283","0.406","0.0777"
"TRAP1",1238,"4.24e-01","1.75e-01","2.67e-01","6664","4267","3815","0.445","0.263","0.274","0.411","0.263","0.274"
"SUGP1",1239,"8.01e-02","2.01e-03","6.77e-01","2373","116","9459","0.158","0.00716","0.68","0.146","0.00716","0.68"
"DDX49",1240,"8.34e-01","5.54e-01","3.3e-01","11135","10081","4671","0.743","0.622","0.336","0.687","0.622","0.336"
"GDF1",1241,"7.51e-01","1.34e-01","7.42e-01","9701","3473","10350","0.647","0.214","0.744","0.598","0.214","0.744"
"SDF2",1242,"1.82e-01","8.16e-01","8.16e-01","4357","13551","11339","0.291","0.836","0.815","0.269","0.836","0.815"
"NSRP1",1243,"1.76e-01","7.61e-01","4.98e-01","4265","12762","6982","0.285","0.788","0.502","0.263","0.787","0.502"
"ATG14",1244,"7.15e-01","9.94e-01","2.73e-02","9222","16113","473","0.615","0.995","0.0341","0.569","0.994","0.034"
"DLGAP5",1245,"8.84e-01","3.05e-01","4.91e-01","12257","6442","6864","0.818","0.398","0.493","0.756","0.397","0.493"
"L3HYPDH",1246,"7.4e-02","1.01e-01","1.12e-01","2205","2758","1690","0.147","0.17","0.121","0.136","0.17","0.121"
"TBPL2",1247,"5.69e-01","4.42e-01","7.44e-01","7786","8478","10381","0.52","0.523","0.746","0.48","0.523","0.746"
"SGPP1",1248,"8.67e-02","4.08e-02","1.2e-01","2544","1310","1782","0.17","0.0809","0.128","0.157","0.0808","0.128"
"PLEKHG3",1249,"1.09e-01","4.57e-01","9.26e-01","3051","8697","12912","0.204","0.537","0.928","0.188","0.537","0.928"
"EVI2A",1250,"9.76e-01","6.75e-01","7.11e-01","14445","11645","9913","0.964","0.719","0.713","0.891","0.718","0.713"
"OMG",1251,"3e-01","6.95e-01","8.96e-01","5666","11909","12487","0.378","0.735","0.898","0.35","0.735","0.898"
"AIF1L",1252,"7.05e-01","4.92e-01","NA","9102","9241","NA","0.607","0.57","NA","0.562","0.57","NA"
"CANX",1253,"8.23e-02","1.92e-01","8.18e-01","2436","4591","11376","0.163","0.283","0.818","0.15","0.283","0.818"
"PYCARD",1254,"7.76e-01","8.24e-01","7.54e-01","10084","13677","10496","0.673","0.844","0.754","0.622","0.844","0.754"
